Facebook Name,Role,Date,Month,Year,Category,Description,Hours Earned,Hours Used,Hours Donated,Hours Available
Jane TestUser,Participant Onboarded,7/23/2025,July,2025,Orientation,Onboarding,4,,,4
Jane TestUser,Participant Onboarded,9/12/2025,September,2025,Time Bank Request,Moving help,,3,,1
Jane TestUser,Participant Onboarded,10/5/2025,October,2025,Community Service IN Gig Harbor,Beach cleanup,3,,,4
Maria Sample,Participant Onboarded,8/1/2025,August,2025,Orientation,Onboarding,4,,,4
Maria Sample,Participant Onboarded,8/15/2025,August,2025,Hosting,Game night hosting,2,,,6
Maria Sample,Participant Onboarded,11/3/2025,November,2025,Time Bank Request,Meal delivery,,2,,4
Sarah Demo,Participant Onboarded,6/10/2025,June,2025,Orientation,Onboarding,4,,,4
Sarah Demo,Participant Onboarded,7/20/2025,July,2025,Community Service OUTSIDE of Gig Harbor,Food bank volunteering,3,,,7
Sarah Demo,Participant Onboarded,9/30/2025,September,2025,Admin,Newsletter coordination,2,,,9
Sarah Demo,Participant Onboarded,12/1/2025,December,2025,Time Bank Request,Ride to appointment,,1,,8
Lisa Tester,Participant Onboarded,7/1/2025,July,2025,Orientation,Onboarding,4,,,4
Lisa Tester,Participant Onboarded,8/22/2025,August,2025,GHWCo-Op Community Garden/Space Renovation,Garden planting day,5,,,9
Lisa Tester,Participant Onboarded,10/15/2025,October,2025,Meeting,Monthly meeting attendance,1,,,10
Amy Fakename,Participant Onboarded,9/1/2025,September,2025,Orientation,Onboarding,4,,,4
Amy Fakename,Participant Onboarded,11/20/2025,November,2025,Community Service IN Gig Harbor,Holiday gift wrapping,3,,,7
